,TAXYEAR,PARCEL,SFRCONDO,COMPLEXID,INSPECTION,CLASS,STORIES,ROOMS,QUALITY,WALLS,ROOF,HEAT,COOL,BATHFIXTUR,PATIO,PATIONUMBE,CONDITION,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,VALUATIONC,APPLICATION,ENHANCEMEN,ADJUSTMENT,APPRAISER,PHONE
314,2016,106050650,S,9999,Oct  1 1984 12:00AM,1,1,5,1,3,7,8,2,3,9,0,1,1015,1944,9,0,0,42333,42333,35136,19920518,00,0201,0,1,Renee A.,724-8010
363,2016,107140890,S,9999,Aug  1 1993 12:00AM,1,1,5,1,0,7,8,1,3,3,2,1,1104,1949,9,0,0,69093,69093,69093,19930830,00,0201,0,1,Renee A.,724-8010
434,2016,11304023B,S,9999,Aug 12 2014 12:00AM,1,1,3,2,0,1,6,1,3,9,0,2,564,1957,9,0,0,52812,52812,47531,20140812,00,0201,0,1,Bob B.,724-3053
447,2016,115073100,S,9999,Jan  1 1982 12:00AM,1,1,4,1,7,1,8,1,3,9,0,1,723,1937,1,1,0,81210,81210,81210,20070207,00,0201,0,1,Renee A.,724-8010
448,2016,115073340,S,9999,Sep  1 1965 12:00AM,1,1,4,1,7,7,8,2,3,3,1,1,844,1928,1,1,0,85013,85013,85013,19730628,00,0201,0,1,Renee A.,724-8010
502,2016,116121580,S,9999,Jan 21 2015 12:00AM,1,1,5,1,0,7,8,2,3,3,2,1,783,1943,9,0,0,20500,47011,20500,20150122,OL,0122,0,1,Renee A.,724-8010
615,2016,11621222B,S,9999,Jan  1 1990 12:00AM,1,1,2,1,0,7,8,1,3,9,0,1,380,1939,9,0,0,51216,51216,51216,20070207,00,0201,0,1,Renee A.,724-8010
616,2016,11621273A,S,9999,May 29 2014 12:00AM,1,1,4,1,3,7,6,0,3,9,0,1,1091,1954,9,0,0,59466,59466,44005,20140530,00,0201,0,1,Renee A.,724-8010
663,2016,11809008A,S,9999,Jul  1 1995 12:00AM,1,1,4,1,7,7,8,2,3,9,0,1,715,1953,9,0,0,25510,25510,25510,19951031,00,0201,0,1,Renee A.,724-8010
708,2016,118231650,S,9999,Jan  1 2007 12:00AM,1,1,3,1,3,7,8,1,3,9,0,1,860,1940,9,0,0,27380,27380,24368,20070129,00,0201,0,1,Renee A.,724-8010
728,2016,118242960,S,9999,Jan  1 2007 12:00AM,1,1,4,1,3,7,8,1,3,9,0,1,780,1961,3,1,0,38022,38022,33840,20070129,00,0201,0,1,Renee A.,724-8010
748,2016,11825342A,S,9999,Jan 26 2015 12:00AM,1,1,3,1,2,7,9,9,4,9,0,1,550,1948,9,0,0,19931,19877,19931,20150129,OL,0129,0,1,Renee A.,724-8010
767,2016,118261170,S,9999,Jan 26 2015 12:00AM,1,1,4,2,0,1,6,1,3,3,1,2,629,1952,3,1,0,25821,27077,25821,20150127,OL,0127,0,1,Renee A.,724-8010
784,2016,119030200,S,9999,Oct  1 1965 12:00AM,1,1,5,1,3,7,8,2,4,9,0,1,858,1943,9,0,0,29954,29954,29954,20070207,00,0201,0,1,Renee A.,724-8010
875,2016,120061370,S,9999,Jan 26 2015 12:00AM,1,1,3,1,0,1,8,2,3,3,1,1,607,1930,3,2,0,24008,26127,24008,20150127,OL,0127,0,1,Renee A.,724-8010
967,2017,10510047E,S,9999,Aug 19 2015 12:00AM,1,1,4,2,0,3,1,1,6,3,2,2,937,1957,9,0,0,24912,24912,24912,20150819,00,0131,0,0.5,Bill B.,724-3096
968,2017,10510047F,S,9999,Aug 19 2015 12:00AM,1,1,4,2,0,3,1,1,6,9,0,2,937,1957,9,0,0,23981,23981,23981,20150819,00,0131,0,0.5,Bill B.,724-3096
971,2017,105102580,S,9999,Dec 16 2015 12:00AM,1,1,4,2,0,3,6,1,3,9,0,2,659,1926,9,0,0,15501,62479,15501,20160128,OL,0128,0,1,Steve A.,724-3055
1047,2017,110061210,S,9999,Jul  1 1985 12:00AM,1,1,7,1,3,7,1,1,3,9,0,1,1598,1957,9,0,0,66490,66490,66490,19850730,00,0131,0,1,Kathy T.,724-3060
1056,2017,110073500,S,9999,Jul 25 2012 12:00AM,1,1,4,1,3,7,8,2,3,3,2,1,638,1948,3,1,0,45411,45411,45411,20120726,00,0131,0,1,Kathy T.,724-3060
1070,2017,11103055A,S,9999,Feb  1 2007 12:00AM,1,1,2,1,7,7,8,1,3,3,1,1,677,1915,9,0,0,50237,50237,54758,20070831,00,0131,0,1,Kathy T.,724-3060
1136,2017,115170500,S,9999,Jul  1 1965 12:00AM,1,1,3,1,3,7,8,2,3,9,0,1,878,1948,9,0,0,45592,45592,38297,20070207,00,0131,0,1,Kevin B.,724-7403
1137,2017,115170610,S,9999,Jul  1 1965 12:00AM,1,1,5,1,3,7,8,1,3,9,0,1,768,1940,9,0,0,43915,43915,36889,20070207,00,0131,0,1,Kevin B.,724-7403
1142,2017,11517180A,S,9999,Jul  1 1985 12:00AM,1,1,5,1,3,1,8,2,3,3,1,1,738,1942,9,0,0,32359,32359,27182,20070207,00,0131,0,1,Renee A.,724-8010
1144,2017,11517222a,S,9999,Dec 16 2015 12:00AM,1,1,3,1,3,7,8,2,4,9,0,1,794,1954,9,0,0,20500,35094,20500,20151221,OL,1221,0,1,Renee A.,724-8010
1185,2017,116123570,S,9999,May  1 1982 12:00AM,1,1,6,3,0,7,8,2,3,9,0,3,1176,1956,9,0,0,56734,56734,56734,19820921,00,0131,0,1,Renee A.,724-8010
1201,2017,116125970,S,9999,Sep  1 1979 12:00AM,1,1,5,1,0,7,1,2,4,3,2,1,599,1950,9,0,0,44134,44134,44134,20070207,00,0131,0,1,Renee A.,724-8010
1217,2017,116160130,S,9999,Jul  1 1965 12:00AM,1,1,6,1,3,7,8,2,3,9,0,1,1692,1926,9,0,0,54660,54660,49741,19790928,00,0131,0,1,Renee A.,724-8010
1255,2017,116170880,S,9999,Oct  1 1984 12:00AM,1,1,4,2,3,7,9,9,3,9,0,2,600,1943,9,0,0,41786,41786,41786,20070207,00,0131,0,1,Renee A.,724-8010
1276,2017,116183090,S,9999,Jul  1 2007 12:00AM,1,1,2,2,0,7,9,9,3,9,0,1,441,1940,9,0,0,40528,40528,40528,20070822,00,0131,0,1,Renee A.,724-8010
1278,2017,116191440,S,9999,Feb  1 1994 12:00AM,1,1,4,1,3,7,8,1,3,3,2,1,918,1916,9,0,0,71989,71989,53272,20070207,00,0131,0,1,Renee A.,724-8010
1288,2017,116213400,S,9999,Aug  1 1966 12:00AM,1,1,3,1,0,1,8,2,3,9,0,1,464,1943,9,0,0,42846,42846,31706,19761228,00,0131,0,1,Renee A.,724-8010
1294,2017,11623100C,S,9999,Jun  1 1982 12:00AM,1,1,4,1,0,7,8,2,3,9,0,1,800,1951,9,0,0,50656,50656,37485,19820921,00,0131,0,1,Renee A.,724-8010
1296,2017,116231580,S,9999,Oct  1 2006 12:00AM,1,1,4,1,2,7,1,1,3,9,0,1,540,1961,9,0,0,37840,37840,28002,20061109,00,0131,0,1,Renee A.,724-8010
1304,2017,117090760,S,9999,Jan 21 2015 12:00AM,1,1,3,1,0,7,9,9,3,9,0,1,840,1959,9,0,0,62822,62822,62822,20150122,00,0131,0,1,Renee A.,724-8010
1306,2017,11714383C,S,9999,Dec 16 2011 12:00AM,1,1,5,1,3,7,8,2,3,9,0,1,1040,1920,9,0,0,84817,84817,84817,20111216,00,0131,0,1,Renee A.,724-8010
1310,2017,118033830,S,9999,Jul  1 1985 12:00AM,1,1,3,1,2,3,8,1,3,9,0,1,837,1956,9,0,0,64131,64131,64131,20070207,00,0131,0,1,Renee A.,724-8010
1317,2017,118060750,S,9999,Oct  1 1968 12:00AM,1,1,4,1,0,7,8,2,3,3,1,1,672,1947,9,0,0,43431,43431,43431,20070207,00,0131,0,1,Renee A.,724-8010
1332,2017,11809043B,S,9999,Feb  1 2002 12:00AM,1,1,5,1,3,7,8,1,3,3,1,1,1530,1940,9,0,0,43895,43895,43895,20030205,00,0131,0,1,Renee A.,724-8010
1354,2017,118222460,S,9999,Jan  1 2007 12:00AM,1,1,5,1,3,7,8,1,3,9,0,1,810,1948,9,0,0,41746,41746,35067,20070126,00,0131,0,1,Renee A.,724-8010
1402,2017,118251490,S,9999,Jan 26 2015 12:00AM,1,1,5,1,0,7,8,2,3,9,0,1,724,1952,9,0,0,27656,27656,23231,20150127,00,0131,0,1,Renee A.,724-8010
1403,2017,118251500,S,9999,Jan  1 2007 12:00AM,1,1,3,1,0,7,8,1,3,3,1,1,604,1947,9,0,0,36755,36755,30874,20070130,00,0131,0,1,Renee A.,724-8010
1511,2017,11921018A,S,9999,Jul  1 1985 12:00AM,1,1,6,2,2,7,1,1,3,3,1,2,1250,1951,3,3,0,104158,104158,104158,19920827,00,0131,0,1,Renee A.,724-8010
1531,2017,120021320,S,9999,May  1 1983 12:00AM,1,1,4,1,0,7,8,1,3,9,0,2,531,1954,9,0,0,25967,25967,25967,19831104,00,0131,0,1,Renee A.,724-8010
1580,2017,12205012D,S,9999,Aug  1 1999 12:00AM,1,1,7,2,3,1,8,1,6,9,0,2,1049,1944,9,0,0,51213,51213,57871,20060208,00,0131,0,1,Kathy T.,724-3060
1587,2017,122171150,S,9999,Jan  1 1994 12:00AM,1,1,6,1,3,7,5,2,3,3,1,1,1063,1944,9,0,0,56987,56987,45590,19940408,00,0131,0,0.8,Kathy T.,724-3060
1648,2017,13811029B,S,9999,Aug  1 1993 12:00AM,1,1,5,1,3,0,8,2,3,3,1,1,854,1947,9,0,0,34434,34434,32712,19811204,00,0131,0,1,Gwenn S.,724-4394
1664,2017,13817022A,S,9999,Sep  1 1985 12:00AM,1,1,4,1,0,7,8,2,3,9,0,1,795,1953,9,0,0,32106,32106,32106,20080930,00,0131,0,1,Gwenn S.,724-4394
1700,2017,14124038C,S,9999,Dec 16 2015 12:00AM,1,1,4,1,0,0,8,2,3,3,1,1,1066,1915,9,0,0,10501,27007,10501,20151218,OL,1218,0,1,Kathy T.,724-3060
1796,2017,30588006A,S,9999,Jan 20 2015 12:00AM,1,1.5,4,1,0,7,8,1,3,9,0,2,704,1982,9,0,0,123459,123459,135805,20150120,00,0131,0,1,Kathy T.,724-3060
1797,2017,30591041A,S,9999,Jan 13 2016 12:00AM,1,1,3,1,7,3,6,1,3,9,0,2,1050,1962,9,0,0,59983,59983,67181,20160114,00,0131,11772,1,Kathy T.,724-3060
1824,2017,40113045A,S,9999,Dec 17 2015 12:00AM,1,1,4,1,2,7,8,1,3,9,0,1,884,1925,9,0,0,15500,32004,15500,20151217,OL,1217,0,1,Wayne S.,724-3003
1856,2017,40124020E,S,9999,Oct  1 1996 12:00AM,1,1,4,1,0,7,8,2,3,9,0,1,749,1936,9,0,0,22070,22070,18760,19970603,00,0131,0,1,Wayne S.,724-3003
1857,2017,40124020F,S,9999,Apr  1 2014 12:00AM,1,1,5,1,0,7,8,2,3,9,0,1,682,1936,9,0,0,21271,21271,18080,20140403,00,0131,0,1,Wayne S.,724-3003
1899,2018,10407022A,S,9999,May  1 1991 12:00AM,1,1,5,1,3,7,9,1,3,3,2,1,931,1949,3,2,0,38841,38841,38841,20001120,00,0129,0,1,Stephen H.,724-3061
1919,2018,106042100,S,9999,Oct  1 1984 12:00AM,1,1,2,1,3,7,8,2,3,3,1,1,444,1933,3,2,0,34159,34159,32451,19841119,00,0129,0,1,Stephen H.,724-3061
1959,2018,10713028B,S,9999,Sep 23 2015 12:00AM,1,1,8,1,3,7,6,2,3,9,0,1,1468,1945,9,0,0,56009,56009,48168,20151001,00,0129,0,1,Stephen H.,724-3061
1983,2018,11006166A,S,9999,Dec  1 2016 12:00AM,1,1,3,1,0,7,8,1,3,3,1,1,654,1950,9,0,0,104765,104765,104765,20161207,OL,1207,0,1,Kathy T.,724-3060
2124,2018,116125040,S,9999,Sep  1 1979 12:00AM,1,1,4,1,0,7,6,2,3,3,1,1,735,1949,9,0,0,44754,44754,44754,20070207,00,0129,0,1,Stephen H.,724-3061
2166,2018,116161980,S,9999,Jul  1 1965 12:00AM,1,1,4,1,3,7,8,2,3,3,1,1,606,1939,3,1,0,37161,37161,33817,20070207,00,0129,0,1,Stephen H.,724-3061
2200,2018,116183360,S,9999,Jan  1 1900 12:00AM,1,2,8,1,3,8,9,1,3,3,1,1,1328,1944,9,0,0,88030,149353,110521,20081219,00,0129,0,1,Stephen H.,724-3061
2210,2018,116230170,S,9999,Dec  1 1965 12:00AM,1,1,4,1,3,7,8,2,3,9,0,1,663,1942,9,0,0,54915,54915,40637,19780208,00,0129,0,1,Stephen H.,724-3061
2211,2018,11623055A,S,9999,Dec  1 1983 12:00AM,1,1,5,1,2,7,8,1,3,9,0,1,907,1958,9,0,0,45831,45831,33915,19831217,00,0129,0,1,Stephen H.,724-3061
2212,2018,116230790,S,9999,Jan  1 1966 12:00AM,1,1,4,1,3,7,8,2,3,9,0,1,837,1950,9,0,0,51493,51493,38105,19761228,00,0129,0,1,Stephen H.,724-3061
2213,2018,116230810,S,9999,Dec  1 1983 12:00AM,1,1,4,2,3,7,8,2,3,9,0,2,765,1949,9,0,0,60613,60613,44854,19831217,00,0129,0,1,Stephen H.,724-3061
2214,2018,11623085C,S,9999,Jan  1 1966 12:00AM,1,1,6,1,3,7,8,2,3,9,0,1,1516,1921,9,0,0,100635,100635,74470,19880129,00,0129,0,1,Stephen H.,724-3061
2215,2018,11623122a,S,9999,Jan  1 1966 12:00AM,1,1,4,1,3,7,8,1,3,3,1,1,752,1936,9,0,0,86468,86468,63986,19761228,00,0129,0,1,Stephen H.,724-3061
2216,2018,116231630,S,9999,Jan  1 2007 12:00AM,1,1,5,1,2,1,8,1,3,3,1,1,1147,1953,9,0,0,84060,84060,62204,20070126,00,0129,0,1,Stephen H.,724-3061
2217,2018,116231840,S,9999,Dec  1 1983 12:00AM,1,1,5,2,0,7,8,2,3,3,1,2,768,1955,9,0,0,55214,55214,40858,20100728,00,0129,0,1,Stephen H.,724-3061
2218,2018,116231980,S,9999,Jan  1 1966 12:00AM,1,1,6,1,3,7,8,2,3,9,0,1,1060,1938,9,0,0,56468,56468,41786,19761228,00,0129,0,1,Stephen H.,724-3061
2219,2018,116231990,S,9999,Jan  1 1966 12:00AM,1,1,3,1,3,7,8,2,3,3,1,1,885,1950,9,0,0,54347,54347,40217,19761228,00,0129,0,1,Stephen H.,724-3061
2229,2018,118040250,S,9999,Aug  1 1965 12:00AM,1,1,5,1,0,7,8,2,3,9,0,1,1303,1961,9,0,0,48433,48433,48433,19751029,00,0129,0,1,Renee A.,724-8010
2234,2018,118070070,S,9999,Jan  1 2007 12:00AM,1,1,3,1,3,7,8,1,3,9,0,1,676,1937,9,0,0,86739,94789,94789,20070129,00,0129,0,1,Renee A.,724-8010
2245,2018,11808124B,S,9999,Nov 18 2016 12:00AM,1,1,4,1,2,7,1,1,3,9,0,2,790,1947,9,0,0,33585,33585,35264,20161121,00,0129,0,1,Renee A.,724-8010
2313,2018,118251270,S,9999,Dec  1 2016 12:00AM,1,1,3,1,8,7,9,1,4,3,1,1,541,1953,9,0,0,26748,23943,26748,20161207,OL,1207,0,1,Renee A.,724-8010
2343,2018,118261300,S,9999,Mar  1 2003 12:00AM,1,1,4,2,3,7,8,1,3,9,0,1,915,1950,9,0,0,32335,32335,27970,20031002,00,0129,0,1,Renee A.,724-8010
2361,2018,119030550,S,9999,Jun  1 1977 12:00AM,1,1,4,1,3,7,6,2,3,9,0,1,854,1948,9,0,0,31922,66848,70190,19770728,00,0129,0,1,June M.,724-8722
2418,2018,119045630,S,9999,Feb 19 2014 12:00AM,1,1,3,2,4,7,8,2,3,3,1,1,527,1946,9,0,0,25037,25037,26289,20140221,00,0129,0,1,Renee A.,724-8010
2431,2018,120020590,S,9999,Jan  1 1996 12:00AM,1,1,3,1,2,7,8,2,6,9,0,1,568,1954,3,1,0,27806,27806,29196,19960123,00,0129,0,1,Renee A.,724-8010
2446,2018,120052060,S,9999,Nov  1 1981 12:00AM,1,1,6,1,0,7,8,1,5,3,1,1,903,1945,9,0,0,32937,32937,34584,19811123,00,0129,0,1,Renee A.,724-8010
2450,2018,120062990,S,9999,Jan 26 2015 12:00AM,1,1,4,1,3,7,8,2,3,9,0,1,831,1942,9,0,0,24638,49402,38929,20150127,00,0129,0,1,June M.,724-8722
2582,2018,13828053A,S,9999,Dec  1 2016 12:00AM,1,1,3,1,0,7,8,1,3,9,0,1,1242,1965,9,0,0,25500,31233,25500,20161207,OL,1207,0,1,Gwenn S.,724-4394
2711,2018,30730064D,S,9999,Jul  1 2003 12:00AM,1,1,3,1,5,6,8,1,3,3,1,1,1179,1926,9,0,0,33027,78392,121508,20060209,00,0129,0,1,Steve A.,724-3055
2742,2018,40115068A,S,9999,Jan  1 2007 12:00AM,1,1,4,1,0,7,8,1,3,3,1,1,618,1932,9,0,0,38594,65369,58832,20070130,00,0129,0,1,June M.,724-8722
2770,2018,401240710,S,9999,Oct  1 1996 12:00AM,1,1,5,1,0,6,9,1,3,9,0,1,1078,1916,9,0,0,36087,36087,30674,19970603,00,0129,0,1,Wayne S.,724-3003
2777,2018,401250060,S,9999,Dec  1 2016 12:00AM,1,1,3,1,0,7,8,1,3,9,0,1,480,1926,9,0,0,11500,29678,11500,20161207,OL,1207,0,1,Wayne S.,724-3003
2781,2018,401250240,S,9999,Sep  1 2008 12:00AM,1,1,4,1,0,6,8,1,3,3,1,1,768,1927,9,0,0,34256,34256,29118,20080926,00,0129,0,1,Wayne S.,724-3003
2839,2019,106120190,S,9999,Oct  1 1984 12:00AM,1,1,6,1,0,7,8,2,3,9,0,1,1008,1957,9,0,0,33915,33915,29506,19841119,00,0129,0,1,Stephen H.,724-3061
2849,2019,107110570,S,9999,May  1 1997 12:00AM,1,1,2,2,2,7,0,1,3,9,0,2,728,1950,9,0,0,38502,38502,33497,19970716,00,0129,0,1,Stephen H.,724-3061
2853,2019,107112380,S,9999,Sep 21 2011 12:00AM,1,1,3,3,0,7,6,1,3,3,1,1,856,1956,9,0,0,48085,48085,41834,20110926,00,0129,0,1,Stephen H.,724-3061
2903,2019,111020190,S,9999,Jan  1 1900 12:00AM,1,1,6,1,3,7,1,9,6,3,1,1,1644,1946,9,0,0,282272,312143,383936,20081219,00,0129,0,1,Michele H.,724-3067
2932,2019,11204405A,S,9999,May  1 1965 12:00AM,1,1,4,1,0,7,8,1,3,9,0,1,1152,1946,9,0,0,98648,98648,98648,19741119,00,0129,0,1,Bob B.,724-3053
2938,2019,113021300,S,9999,Mar  1 1979 12:00AM,1,1,5,1,3,7,1,1,3,3,1,2,931,1954,3,1,0,70641,70641,70641,19790706,00,0129,0,1,Stephen H.,724-3061
2962,2019,115155390,S,9999,Dec 22 2017 12:00AM,1,1,5,2,3,7,8,2,3,9,0,1,1100,1944,9,0,0,22500,40475,22500,20171227,OL,1227,0,1,Stephen H.,724-3061
2976,2019,115180880,S,9999,Jan  1 2007 12:00AM,1,1,6,1,3,7,8,1,3,3,1,1,1044,1939,9,0,0,57222,57222,52072,20070125,00,0129,0,1,Stephen H.,724-3061
3033,2019,116126890,S,9999,Sep  1 1976 12:00AM,1,1,3,1,3,7,8,1,7,3,2,1,704,1950,9,0,0,45774,45774,45774,20070207,00,0129,0,1,Stephen H.,724-3061
3037,2019,116127440,S,9999,Dec  1 1995 12:00AM,1,1,4,1,0,7,8,2,3,3,1,1,910,1945,9,0,0,47870,65113,65113,17530101,00,0129,0,1,June M.,724-8722
3044,2019,116160140,S,9999,Jan  4 2011 12:00AM,1,1,3,1,3,7,8,2,3,3,1,1,510,1927,9,0,0,26839,26839,24423,20110105,00,0129,0,1,Stephen H.,724-3061
3053,2019,116160580,S,9999,Jul  1 1965 12:00AM,1,1,6,1,3,6,8,2,3,9,0,1,1123,1948,9,0,0,41337,41337,37617,19761228,00,0129,0,1,Stephen H.,724-3061
3060,2019,116161770,S,9999,Jul  1 1965 12:00AM,1,1,3,1,3,7,8,2,3,3,1,1,646,1938,9,0,0,24773,24773,22543,19761228,00,0129,0,1,Eduardo P.,724-6980
3061,2019,116161780,S,9999,Jul  1 1965 12:00AM,1,1,4,1,3,7,8,2,3,9,0,1,795,1936,9,0,0,27678,27678,25187,19761228,00,0129,0,1,Eduardo P.,724-6980
3101,2019,116200460,S,9999,Jan  1 1982 12:00AM,1,1,5,1,3,7,8,2,3,9,0,1,856,1949,9,0,0,63181,63181,68867,20100728,00,0129,0,1,Stephen H.,724-3061
3108,2019,116213010,S,9999,Jun  1 1982 12:00AM,1,1,3,1,2,1,6,1,3,3,2,1,528,1947,9,0,0,62927,62927,46566,19820921,00,0129,0,1,Stephen H.,724-3061
3145,2019,118220580,S,9999,Jan 26 2015 12:00AM,1,1,5,1,3,7,8,1,3,3,1,1,713,1954,9,0,0,27796,27796,24044,20150127,00,0129,0,1,Renee A.,724-8010
3161,2019,118223250,S,9999,Jan 26 2015 12:00AM,1,1,3,1,3,6,8,2,3,9,0,1,769,1947,9,0,0,28388,28388,24556,20150127,00,0129,0,1,Renee A.,724-8010
3180,2019,118240600,S,9999,Jan 26 2015 12:00AM,1,1,4,1,0,7,8,2,3,9,0,1,693,1945,9,0,0,27136,27136,23473,20150127,00,0129,0,1,Renee A.,724-8010
3186,2019,118242390,S,9999,Jan  1 2007 12:00AM,1,1,4,1,2,7,8,1,3,3,2,1,635,1949,3,1,0,42137,42137,36449,20070130,00,0129,0,1,Renee A.,724-8010
3308,2019,11941282H,S,9999,Aug  1 1985 12:00AM,1,1,4,1,0,1,1,1,3,3,1,1,784,1947,9,0,0,52333,61481,61481,19851030,00,0129,0,1,Renee A.,724-8010
3329,2019,120062930,S,9999,Jan 26 2015 12:00AM,1,1,4,1,3,7,8,1,3,3,1,1,544,1954,9,0,0,29021,29021,22869,20150127,00,0129,0,1,Renee A.,724-8010
3351,2019,120084600,S,9999,Aug  1 1978 12:00AM,1,1,3,2,4,7,8,1,3,3,1,1,581,1950,9,0,0,22212,22212,20879,20070207,00,0129,0,1,Renee A.,724-8010
3382,2019,127051730,S,9999,May  1 2001 12:00AM,1,1,5,2,0,7,1,1,3,3,1,1,785,1953,9,0,0,63287,63287,68983,20010515,00,0129,0,1,Michele H.,724-3067
3441,2019,13811153A,S,9999,Aug  1 1993 12:00AM,1,1,4,1,0,7,8,1,3,9,0,1,496,1945,3,1,0,26666,26666,26933,19811006,00,0129,0,1,Stephen H.,724-3061
3443,2019,138111590,S,9999,Aug  1 1985 12:00AM,1,1,4,2,2,7,3,2,3,3,1,2,810,1953,9,0,0,35447,35447,35801,19851030,00,0129,0,1,Stephen H.,724-3061
3478,2019,140371160,S,9999,Sep  1 1985 12:00AM,1,1,6,1,2,7,8,1,4,9,0,1,1398,1969,9,0,0,26666,26666,26666,20060209,00,0129,0,1,Eduardo P.,724-6980
3479,2019,14037125A,S,9999,Sep  1 1985 12:00AM,1,1,5,1,3,7,8,1,3,3,1,1,1193,1954,9,0,0,23129,23129,23129,20060209,00,0129,0,1,Eduardo P.,724-6980
3491,2019,205690530,S,9999,May  1 1990 12:00AM,1,1,2,1,5,7,8,1,3,3,1,1,697,1944,9,0,0,153833,153833,169216,20080208,00,0129,0,1,Eduardo P.,724-6980
3525,2019,219120120,S,9999,Sep 13 2013 12:00AM,1,1,3,3,7,7,8,2,3,3,1,3,522,1983,3,1,0,179230,179230,179230,20130913,00,0129,0,1,Conor L.,724-3003
3544,2019,303110060,S,9999,Dec 21 2017 12:00AM,1,1,4,1,0,6,8,2,3,9,0,1,746,1968,9,0,0,27500,30496,27500,20171227,OL,1227,0,1,Stephen H.,724-3061
3553,2019,30313113A,S,9999,Mar 19 2015 12:00AM,1,1,4,1,3,7,6,1,3,3,1,1,1325,1955,9,0,0,32933,32933,32933,20150319,00,0129,0,1,Stephen H.,724-3061
3577,2019,30433021T,S,9999,Dec 20 2011 12:00AM,1,1,3,2,0,7,8,1,3,9,0,2,880,1984,9,0,0,71349,71349,71349,20111230,00,0129,0,1,Stephen H.,724-3061
3583,2019,30617005B,S,9999,Aug  4 2015 12:00AM,1,1,3,2,7,3,8,2,3,3,1,2,929,1965,9,0,0,23248,23248,27665,20150804,00,0129,0,1,Adrian M.,724-8949
3589,2019,40102012H,S,9999,Jul  1 2007 12:00AM,1,1,2,2,8,6,9,2,4,9,0,1,629,1972,9,0,0,32898,37482,37482,20091020,00,0129,0,1,Michele H.,724-3067
3620,2019,401150710,S,9999,Dec 15 2017 12:00AM,1,1,3,1,0,7,8,2,3,9,0,1,734,1936,9,0,0,10500,33629,10500,20171215,OL,1215,0,1,Michele H.,724-3067
3671,2020,10210025B,S,9999,Jan  1 1986 12:00AM,1,1,3,1,0,7,6,2,3,9,0,1,441,1949,3,1,0,273706,273706,273706,20070207,00,0125,0,1,Michael V.,724-7421
3672,2020,10218001J,S,9999,Oct 17 2014 12:00AM,1,1,4,1,3,3,1,9,4,9,0,1,816,1988,1,2,0,220063,220063,220063,20141017,00,0125,0,1,Michael V.,724-7421
3673,2020,103070080,S,9999,Feb  1 1982 12:00AM,1,1,4,2,0,7,8,1,4,3,1,2,883,1957,9,0,0,61910,61910,47671,19820921,00,0125,0,1,Michael V.,724-7421
3674,2020,103100570,S,9999,May 17 2016 12:00AM,1,1,6,1,0,7,1,2,3,3,1,1,772,1946,9,0,0,96506,96506,79135,20160518,00,0125,0,1,Michael V.,724-7421
